level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1191	1684	-1	
2	1	1	0	0	0	181	90	839	1501	-1	
3	1	1	1	0	0	181	90	504	101	-1	
4	1	1	1	1	0	559	90	126	17	-1	
5	1	1	1	1	1	559	90	23	17	69.794563	智
5	1	1	1	1	2	584	91	15	15	92.654785	灵
5	1	1	1	1	3	600	90	27	16	92.401199	动力
5	1	1	1	1	4	641	85	6	30	90.243942	|
5	1	1	1	1	5	647	92	38	15	86.227875	Q&A
4	1	1	1	2	0	181	163	441	28	-1	
5	1	1	1	2	1	181	167	44	24	89.398247	Q4:
5	1	1	1	2	2	254	163	61	27	96.171661	核心
5	1	1	1	2	3	314	159	42	44	96.499374	优势
5	1	1	1	2	4	369	163	31	27	96.919518	与
5	1	1	1	2	5	413	163	42	28	95.232338	竞争
5	1	1	1	2	6	454	159	41	44	96.100815	差异
5	1	1	1	2	7	509	165	14	25	92.795799	是
5	1	1	1	2	8	537	165	15	25	92.326439	否
5	1	1	1	2	9	562	166	17	24	93.191254	可
5	1	1	1	2	10	586	163	21	27	92.449966	信
5	1	1	1	2	11	609	164	13	22	90.401474	?
3	1	1	2	0	0	181	222	839	141	-1	
4	1	1	2	1	0	224	222	796	21	-1	
5	1	1	2	1	1	224	222	18	20	91.486534	智
5	1	1	2	1	2	251	224	13	18	93.269852	灵
5	1	1	2	1	3	273	223	41	19	92.665024	动力
5	1	1	2	1	4	317	223	25	19	91.244118	尚
5	1	1	2	1	5	341	218	18	34	96.923012	无
5	1	1	2	1	6	358	223	21	19	95.691414	可
5	1	1	2	1	7	379	223	31	19	96.993782	核验
5	1	1	2	1	8	419	223	21	19	96.948708	的
5	1	1	2	1	9	443	223	21	19	96.610123	性
5	1	1	2	1	10	466	223	15	19	93.273537	能
5	1	1	2	1	11	483	218	20	34	92.774078	、
5	1	1	2	1	12	497	223	47	19	92.447510	客
5	1	1	2	1	13	530	218	18	34	91.717537	户
5	1	1	2	1	14	547	218	20	34	92.334473	、
5	1	1	2	1	15	560	223	47	19	92.944252	注
5	1	1	2	1	16	589	218	20	34	92.906891	册
5	1	1	2	1	17	608	218	18	34	93.081711	、
5	1	1	2	1	18	625	223	16	19	92.952484	数
5	1	1	2	1	19	649	223	14	19	92.953369	据
5	1	1	2	1	20	672	223	46	19	96.811127	资源
5	1	1	2	1	21	727	223	12	19	96.896217	或
5	1	1	2	1	22	749	224	19	18	94.741196	知识
5	1	1	2	1	23	778	222	31	20	96.542816	产权
5	1	1	2	1	24	819	223	24	19	93.260704	证
5	1	1	2	1	25	856	236	3	4	91.465714	据
5	1	1	2	1	26	861	218	16	34	92.802795	，
5	1	1	2	1	27	876	223	16	19	93.025085	当
5	1	1	2	1	28	900	223	14	20	96.695023	前
5	1	1	2	1	29	923	223	22	19	96.930908	不
5	1	1	2	1	30	948	223	8	19	96.864456	能
5	1	1	2	1	31	959	223	61	20	96.817398	确认
5	1	1	2	1	32	1006	218	18	34	96.230362	其
4	1	1	2	2	0	182	263	836	20	-1	
5	1	1	2	2	1	182	263	54	20	90.576340	竞争
5	1	1	2	2	2	246	263	28	19	2.149677	壁垒
5	1	1	2	2	3	279	259	24	33	92.905197	。[
5	1	1	2	2	4	303	263	26	19	90.637413	尚
5	1	1	2	2	5	328	259	20	33	96.838455	无
5	1	1	2	2	6	347	263	11	19	96.949409	可
5	1	1	2	2	7	360	263	90	20	96.687775	核验
5	1	1	2	2	8	411	259	23	33	93.202385	证
5	1	1	2	2	9	433	259	16	33	92.605774	据
5	1	1	2	2	10	448	259	9	33	93.189133	]
5	1	1	2	2	11	464	265	15	14	96.573471	AI
5	1	1	2	2	12	493	263	33	19	96.573471	医疗
5	1	1	2	2	13	536	263	45	20	92.338440	竞争
5	1	1	2	2	14	593	264	10	18	97.004776	者
5	1	1	2	2	15	613	263	11	19	93.036880	不
5	1	1	2	2	16	623	259	20	33	93.100494	仅
5	1	1	2	2	17	642	263	46	19	79.019707	包括
5	1	1	2	2	18	690	263	39	19	96.897285	同类
5	1	1	2	2	19	733	263	28	19	89.025993	创业
5	1	1	2	2	20	769	263	43	19	93.041145	公司
5	1	1	2	2	21	815	259	17	33	88.962540	，
5	1	1	2	2	22	831	263	16	19	93.133041	也
5	1	1	2	2	23	849	263	169	20	95.738670	包括
5	1	1	2	2	24	899	259	24	33	96.606255	大
5	1	1	2	2	25	922	259	24	33	96.684601	型
5	1	1	2	2	26	945	259	42	33	94.530518	医疗
5	1	1	2	2	27	986	259	36	33	96.954987	设备
4	1	1	2	3	0	182	303	837	20	-1	
5	1	1	2	3	1	182	303	26	19	38.446236	商
5	1	1	2	3	2	211	299	19	33	93.207451	、
5	1	1	2	3	3	229	304	13	18	92.903442	医
5	1	1	2	3	4	252	303	12	19	93.229309	疗
5	1	1	2	3	5	266	303	110	20	95.728004	信息
5	1	1	2	3	6	316	299	21	33	96.984688	化
5	1	1	2	3	7	336	303	40	20	87.801056	厂商
5	1	1	2	3	8	378	299	21	33	92.634354	、
5	1	1	2	3	9	398	304	13	17	92.726631	互
5	1	1	2	3	10	421	303	44	20	96.877205	联网
5	1	1	2	3	11	477	303	25	19	93.080452	平台
5	1	1	2	3	12	501	299	22	33	92.392624	、
5	1	1	2	3	13	522	303	26	19	91.122757	通
